"","X","brand","model","model_year","milage","fuel_type","engine","transmission","ext_col","int_col","accident","clean_title","price","HighValueCar","engine_power_numeric"
"36",36,"BMW","340 i",2018,44261,"Gasoline","3.0 Liter Turbo","Automatic","Gray","Black","None reported","No",33598,0,3
"37",37,"Audi","A4 2.0T Premium Plus quattro",2012,125575,"Gasoline","211.0HP 2.0L 4 Cylinder Engine Gasoline Fuel","8-Speed A/T","Silver","Black","None reported","Yes",8999,0,3.6624
"38",38,"Hyundai","Tucson SE",2007,16200,"Gasoline","173.0HP 2.7L V6 Cylinder Engine Gasoline Fuel","A/T","Gold","Beige","None reported","Yes",8200,0,3.6624
"39",39,"BMW","Z4 sDrive28i",2014,70000,"Gasoline","240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel","A/T","White","Beige","At least 1 accident or damage reported","Yes",20000,0,3.6624
"40",40,"Bentley","Continental GTC Base",2011,20200,"E85 Flex Fuel","552.0HP 6.0L 12 Cylinder Engine Flex Fuel Capability","6-Speed A/T","Black","Black","None reported","Yes",79950,1,3.6624
"41",41,"Honda","Passport Elite",2023,2978,"Gasoline","3.5 Liter SOHC","Automatic","Lunar Silver Metallic","Gray","None reported","No",45498,0,3.5
"42",42,"Dodge","Sprinter 2500",2007,189719,"Diesel","3.0L V6 Cylinder Engine Diesel Fuel","5-Speed A/T","White","Gray","At least 1 accident or damage reported","Yes",14000,0,3.06
"43",43,"BMW","M850 i xDrive",2019,9949,"Gasoline","4.4 Liter DOHC Twin Turbo","Automatic","Blue","Black","None reported","No",75798,1,4.4
"44",44,"Lucid","Air Grand Touring",2022,3552,"Electric","536.0HP Electric Motor Electric Fuel System","1-Speed A/T","Red","Beige","None reported","Yes",119999,1,536
"45",45,"Audi","A7 Premium",2012,54000,"Gasoline","310.0HP 3.0L V6 Cylinder Engine Gasoline Fuel","8-Speed A/T","Black","Brown","At least 1 accident or damage reported","Yes",36880,0,3.6624
"46",46,"Chevrolet","Silverado 1500 Custom Trail Boss",2021,51351,"Gasoline","5.3L V8 16V GDI OHV","Automatic","Black","Jet Black","None reported","Yes",43147,0,5.3816
"47",47,"MINI","Convertible John Cooper Works",2017,24280,"Gasoline","228.0HP 2.0L 4 Cylinder Engine Gasoline Fuel","6-Speed A/T","Black","Black","At least 1 accident or damage reported","Yes",29000,0,3.6624
"48",48,"Toyota","Avalon Touring",2016,89148,"Gasoline","268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel","A/T","Black","Black","None reported","Yes",17500,0,3.6624
"49",49,"Porsche","Cayenne Platinum Edition",2017,73043,"Gasoline","300.0HP 3.6L V6 Cylinder Engine Gasoline Fuel","8-Speed A/T","White","Black","None reported","Yes",30990,0,3.6624
"50",50,"Mercedes-Benz","AMG C 63 S",2017,60000,"Gasoline","503.0HP 4.0L 8 Cylinder Engine Gasoline Fuel","Transmission w/Dual Shift Mode","Gray","Black","At least 1 accident or damage reported","Yes",52500,1,3.6624
"51",51,"Honda","CR-V EX-L",2016,73549,"Gasoline","2.4L I4 16V GDI DOHC","Automatic CVT","Mountain Air Metallic","Black","At least 1 accident or damage reported","No",20848,0,2.4416
"52",52,"Hummer","H2 Base",2005,110900,"Gasoline","325.0HP 6.0L 8 Cylinder Engine Gasoline Fuel","A/T","Gray","Black","None reported","Yes",19500,0,3.6624
"53",53,"Porsche","911 Carrera S",2013,39000,"Gasoline","400.0HP 3.8L Flat 6 Cylinder Engine Gasoline Fuel","7-Speed A/T","Blue","Black","None reported","Yes",73000,1,3.6624
"54",54,"Mercedes-Benz","CLA-Class CLA 250",2016,120000,"Gasoline","208.0HP 2.0L 4 Cylinder Engine Gasoline Fuel","Transmission w/Dual Shift Mode","Black","Black","None reported","Yes",19800,0,3.6624
"55",55,"Chrysler","300 Touring",2009,134602,"Gasoline","250.0HP 3.5L V6 Cylinder Engine Gasoline Fuel","Transmission w/Dual Shift Mode","Blue","Black","None reported","Yes",7500,0,3.6624
"56",56,"Nissan","Rogue SV",2023,1094,"Gasoline","1.5L I3 12V GDI DOHC Turbo","Automatic CVT","Caspian Blue","Light Gray","None reported","No",30999,0,1.5312
"57",57,"Audi","A3 2.0T",2010,83500,"Gasoline","200.0HP 2.0L 4 Cylinder Engine Gasoline Fuel","Transmission w/Dual Shift Mode","Silver","Black","None reported","Yes",6500,0,3.6624
"58",58,"Ford","Mustang GT Premium",2014,37060,"Gasoline","420.0HP 5.0L 8 Cylinder Engine Gasoline Fuel","6-Speed M/T","Black","Black","None reported","Yes",28500,0,3.6624
"59",59,"Acura","RL Technology",2010,97700,"Gasoline","300.0HP 3.7L V6 Cylinder Engine Gasoline Fuel","Transmission w/Dual Shift Mode","Blue","Beige","None reported","Yes",10995,0,3.6624
"60",60,"Volvo","XC90 Hybrid T8 R-Design",2018,40000,"Plug-In Hybrid","400.0HP 2.0L 4 Cylinder Engine Plug-In Electric/Gas","Transmission w/Dual Shift Mode","Black","Black","None reported","Yes",42000,0,3.6624
"61",61,"Audi","R8 5.2 V10",2018,8940,"Gasoline","5.2L V10 40V PDI DOHC","7-Speed Automatic with Auto-Shift","Tango Red Metallic","Black","None reported","No",144900,1,5.2104
"62",62,"Mercedes-Benz","GLK-Class GLK 350",2014,186000,"Gasoline","302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel","A/T","Black","Beige","At least 1 accident or damage reported","Yes",10000,0,3.6624
"63",63,"Toyota","C-HR LE",2021,13180,"Gasoline","2.0 Liter","CVT-F","–","–","None reported","No",23998,0,2
"64",64,"Lexus","IS 350 Base",2014,104000,"Gasoline","306.0HP 3.5L V6 Cylinder Engine Gasoline Fuel","8-Speed A/T","Black","Black","None reported","Yes",21000,0,3.6624
"65",65,"BMW","X4 M40i",2023,8500,"Hybrid","382.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid","Transmission w/Dual Shift Mode","Gray","Beige","None reported","Yes",67900,1,3.6624
"66",66,"BMW","M4 CS",2019,19069,"Gasoline","3.0 Liter DOHC Turbo","Automatic","Alpine White","Anthracite","None reported","No",69998,1,3
"67",67,"Cadillac","CT5 Premium Luxury",2023,6090,"Gasoline","237.0HP 2.0L 4 Cylinder Engine Gasoline Fuel","A/T","White","Beige","None reported","Yes",46900,0,3.6624
"68",68,"Lucid","Air Grand Touring",2022,4900,"Electric","536.0HP Electric Motor Electric Fuel System","1-Speed A/T","Red","Black","None reported","Yes",99000,1,536
"69",69,"Audi","A5 2.0T Premium Plus",2019,47523,"Gasoline","248.0HP 2.0L 4 Cylinder Engine Gasoline Fuel","Transmission w/Dual Shift Mode","Black","Black","None reported","Yes",31000,0,3.6624
"70",70,"Chrysler","300C SRT8",2006,43000,"Gasoline","425.0HP 6.1L 8 Cylinder Engine Gasoline Fuel","5-Speed A/T","Silver","Black","At least 1 accident or damage reported","Yes",19995,0,3.6624
"71",71,"Bentley","Continental GT W12",2017,14684,"Gasoline","582.0HP 6.0L 12 Cylinder Engine Gasoline Fuel","8-Speed A/T","White","White","None reported","Yes",130000,1,3.6624
"72",72,"BMW","M4 Base",2019,57800,"Gasoline","425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel","Transmission w/Dual Shift Mode","Black","Red","None reported","Yes",55999,1,3.6624
"73",73,"Toyota","GR Corolla Circuit Edition",2023,952,"Gasoline","300.0HP 1.6L 3 Cylinder Engine Gasoline Fuel","6-Speed M/T","Silver","Gray","None reported","Yes",49950,0,3.6624
"74",74,"Audi","RS 5 2.9T",2019,21240,"Gasoline","444.0HP 2.9L V6 Cylinder Engine Gasoline Fuel","8-Speed A/T","Black","Black","At least 1 accident or damage reported","Yes",59950,1,3.6624
"75",75,"Porsche","Cayenne Base",2019,59338,"Gasoline","335.0HP 3.0L V6 Cylinder Engine Gasoline Fuel","Transmission w/Dual Shift Mode","Black","Black","None reported","Yes",42499,0,3.6624
"76",76,"Lamborghini","Huracan Tecnica Coupe",2023,255,"Gasoline","5.2L V-10 gasoline direct injection, DOHC, variable valve contro","Automatic","BLU ELEOS","Nero Ade","None reported","No",359991,1,5.21
"77",77,"Maserati","Quattroporte S",2019,23230,"Gasoline","424.0HP 3.0L V6 Cylinder Engine Gasoline Fuel","8-Speed A/T","Black","Black","None reported","Yes",44999,0,3.6624
"78",78,"Jaguar","XF 35t R-Sport",2017,48000,"Gasoline","340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel","A/T","Red","Black","At least 1 accident or damage reported","Yes",30000,0,3.6624
"79",79,"Lexus","ES 330 Base",2005,41059,"Gasoline","225.0HP 3.3L V6 Cylinder Engine Gasoline Fuel","5-Speed A/T","White","Beige","None reported","Yes",11100,0,3.6624
"80",80,"Land","Rover Discovery Sport SE R-Dynamic",2020,21240,"Gasoline","2.0 Liter","Automatic","White","Black","None reported","No",37998,0,2
"81",81,"Porsche","Cayman GTS",2015,11500,"Gasoline","340.0HP 3.4L Flat 6 Cylinder Engine Gasoline Fuel","7-Speed A/T","Silver","–","None reported","Yes",72000,1,3.6624
"82",82,"Genesis","G90 3.3T Premium",2021,9950,"Gasoline","365.0HP 3.3L V6 Cylinder Engine Gasoline Fuel","8-Speed A/T","Silver","Blue","None reported","Yes",53950,1,3.6624
"83",83,"Volkswagen","Golf R 20th Anniversary Edition",2023,633,"Gasoline","315.0HP 2.0L 4 Cylinder Engine Gasoline Fuel","6-Speed M/T","White","Black","None reported","Yes",47999,0,3.6624
"84",84,"Hyundai","Sonata Hybrid Limited",2015,66000,"Hybrid","199.0HP 2.4L 4 Cylinder Engine Gas/Electric Hybrid","A/T","White","Gray","At least 1 accident or damage reported","Yes",15900,0,3.6624
"85",85,"Audi","RS 7 4.0T Prestige",2014,59715,"Gasoline","560.0HP 4.0L 8 Cylinder Engine Gasoline Fuel","A/T","Gray","Black","At least 1 accident or damage reported","Yes",45000,0,3.6624
"86",86,"BMW","740 Li",2012,85252,"Gasoline","326.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel","6-Speed A/T","Black","Black","None reported","Yes",18500,0,3.6624
"87",87,"Mercedes-Benz","GLS 450 Base 4MATIC",2020,17900,"Hybrid","362.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid","9-Speed A/T","Black","Black","At least 1 accident or damage reported","Yes",80000,1,3.6624
"88",88,"BMW","M6 Base",2016,25500,"Gasoline","560.0HP 4.4L 8 Cylinder Engine Gasoline Fuel","7-Speed A/T","White","Black","None reported","Yes",55000,1,3.6624
"89",89,"Hyundai","Elantra N Base",2023,3800,"Gasoline","276.0HP 2.0L 4 Cylinder Engine Gasoline Fuel","6-Speed M/T","White","Black","None reported","Yes",34000,0,3.6624
"90",90,"Kia","Niro Plug-In Hybrid EX Premium",2022,36602,"Hybrid","1.6L I4 16V GDI DOHC Hybrid","6-Speed Automatic with Auto-Shift","Horizon Blue","Charcoal","None reported","Yes",31995,0,1.6416
"91",91,"Rivian","R1S Adventure Package",2023,2800,"Electric","835.0HP Electric Motor Electric Fuel System","1-Speed A/T","White","Green","None reported","Yes",92000,1,835
"92",92,"Aston","Martin DBS Superleggera",2021,2165,"Gasoline","5.2L V12 48V GDI DOHC Twin Turbo","8-Speed Automatic","Black","Black","None reported","Yes",279950,1,5.21248
"93",93,"Mercedes-Benz","SLC 300 Base",2018,33000,"Gasoline","241.0HP 2.0L 4 Cylinder Engine Gasoline Fuel","9-Speed A/T","Red","Black","At least 1 accident or damage reported","Yes",29900,0,3.6624
"94",94,"BMW","435 Gran Coupe i",2016,76009,"Gasoline","300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel","8-Speed A/T","White","Beige","None reported","Yes",24950,0,3.6624
"95",95,"Jeep","Grand Cherokee Summit",2020,31349,"Gasoline","5.7L V8 16V MPFI OHV","8-Speed Automatic","Granite Crystal Clearcoat Metallic","Black","None reported","No",39366,0,5.7816
"96",96,"Lexus","RC 350 Base",2015,48000,"Gasoline","306.0HP 3.5L V6 Cylinder Engine Gasoline Fuel","Transmission w/Dual Shift Mode","Orange","Red","None reported","Yes",32900,0,3.6624
"97",97,"BMW","525 i",2005,91420,"Gasoline","215.0HP 2.5L Straight 6 Cylinder Engine Gasoline Fuel","6-Speed A/T","Black","Black","None reported","Yes",8900,0,3.6624
"98",98,"Toyota","Corolla LE",2003,124756,"Gasoline","130.0HP 1.8L 4 Cylinder Engine Gasoline Fuel","M/T","Beige","Beige","At least 1 accident or damage reported","Yes",4995,0,3.6624
"99",99,"Cadillac","CT5-V Blackwing",2023,2415,"Gasoline","6.2L V8 16V GDI OHV Supercharged","10-Speed Automatic","Rift Metallic","Gray","None reported","No",104900,1,6.2816
"100",100,"GMC","Acadia SLT-1",2012,116226,"Gasoline","288.0HP 3.6L V6 Cylinder Engine Gasoline Fuel","6-Speed A/T","Black","Black","None reported","Yes",7900,0,3.6624
"101",101,"Lexus","LC 500 Base",2020,37869,"Gasoline","5.0L V8 32V PDI DOHC","10-Speed Automatic","Atomic Silver","Rioja Red","None reported","No",75950,1,5.0832
"102",102,"BMW","i8 Base",2019,41500,"Plug-In Hybrid","369.0HP 1.5L 3 Cylinder Engine Plug-In Electric/Gas","Transmission w/Dual Shift Mode","White","Black","None reported","Yes",86000,1,3.6624
"103",103,"Lexus","ES 300h Base",2013,87001,"Hybrid","200.0HP 2.5L 4 Cylinder Engine Gas/Electric Hybrid","CVT Transmission","Gold","Beige","None reported","Yes",17995,0,3.6624
"104",104,"Cadillac","CT5-V V-Series",2022,4451,"Gasoline","3.0L V6 24V GDI DOHC Twin Turbo","Automatic","Summit White","Jet Black","At least 1 accident or damage reported","Yes",55655,1,3.0624
"105",105,"BMW","540 i xDrive",2020,27158,"Gasoline","2.0 Liter Turbo","Automatic","Imperial Blue Metallic","Canberra Beige/Black","None reported","No",39998,0,2
"106",106,"Chevrolet","Express 1500 Work Van",2014,139804,"Gasoline","195.0HP 4.3L V6 Cylinder Engine Gasoline Fuel","A/T","White","Gray","At least 1 accident or damage reported","Yes",14500,0,3.6624
"107",107,"Jeep","Gladiator Rubicon",2022,27300,"Gasoline","285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel","A/T","Green","Black","None reported","Yes",47500,0,3.6624
"108",108,"BMW","Z4 sDrive28i",2014,36812,"Gasoline","240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel","Transmission w/Dual Shift Mode","White","Beige","None reported","Yes",27000,0,3.6624
"109",109,"Land","Rover LR4 HSE LUX Landmark Edition",2016,144000,"Gasoline","340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel","8-Speed A/T","Black","Black","At least 1 accident or damage reported","Yes",18000,0,3.6624
"110",110,"Cadillac","XT4 Sport",2019,44500,"Gasoline","237.0HP 2.0L 4 Cylinder Engine Gasoline Fuel","9-Speed A/T","Blue","White","None reported","Yes",28900,0,3.6624
"111",111,"BMW","750 750i xDrive",2021,10917,"Gasoline","4.4 Liter Twin Turbo","Automatic","Black","Black","None reported","No",73998,1,4.4
"112",112,"Bentley","Arnage R",2005,8332,"Gasoline","400.0HP 6.75L 8 Cylinder Engine Gasoline Fuel","4-Speed A/T","White","Beige","None reported","Yes",47350,0,3.6624
"113",113,"Lincoln","Aviator Reserve AWD",2020,51247,"Gasoline","3.0 Liter GTDI","Automatic","Magnetic Gray Clearcoat","Roast","None reported","No",47698,0,3
"114",114,"Mercedes-Benz","AMG GL AMG GL 63 4MATIC",2016,69000,"Gasoline","550.0HP 5.5L 8 Cylinder Engine Gasoline Fuel","Transmission w/Dual Shift Mode","Black","Brown","None reported","Yes",36500,0,3.6624
"115",115,"RAM","ProMaster 3500 High Roof",2021,147834,"Gasoline","3.6L V6 24V MPFI DOHC","6-Speed Automatic","Bright White Clearcoat","Black","None reported","Yes",32662,0,3.6624
"116",116,"Ford","Utility Police Interceptor Base",2013,105000,"E85 Flex Fuel","300.0HP 3.7L V6 Cylinder Engine Flex Fuel Capability","A/T","White","Black","At least 1 accident or damage reported","Yes",6600,0,3.6624
"117",117,"Audi","A5 2.0T Premium",2011,92203,"Gasoline","211.0HP 2.0L 4 Cylinder Engine Gasoline Fuel","Transmission w/Dual Shift Mode","Red","Beige","None reported","Yes",9995,0,3.6624
"118",118,"Nissan","GT-R Premium",2010,15600,"Gasoline","485.0HP 3.8L V6 Cylinder Engine Gasoline Fuel","Transmission w/Dual Shift Mode","White","Black","None reported","Yes",69500,1,3.6624
"119",119,"Land","Rover Range Rover Sport 3.0L Supercharged HSE",2018,104700,"Gasoline","V6","Automatic","Fuji White","Ivory / Ebony","At least 1 accident or damage reported","No",30775,0,6
"120",120,"Toyota","Corolla LE",2010,72348,"Gasoline","132.0HP 1.8L 4 Cylinder Engine Gasoline Fuel","A/T","Red","Gray","At least 1 accident or damage reported","Yes",9995,0,3.6624
"121",121,"Rivian","R1S Adventure Package",2023,2500,"Electric","835.0HP Electric Motor Electric Fuel System","A/T","Green","White","None reported","Yes",94000,1,835
"122",122,"Mercedes-Benz","C-Class C300 4MATIC",2022,13177,"Gasoline","2.0 Liter Turbo","Automatic","White","Silk Beige/Black","None reported","No",44798,0,2
"123",123,"Porsche","Cayenne E-Hybrid S",2016,96000,"Plug-In Hybrid","416.0HP 3.0L V6 Cylinder Engine Plug-In Electric/Gas","Transmission w/Dual Shift Mode","White","Red","At least 1 accident or damage reported","Yes",23000,0,3.6624
"124",124,"Chevrolet","Express 1500 Work Van",2011,93009,"E85 Flex Fuel","5.3L V8 16V MPFI OHV Flexible Fuel","4-Speed Automatic","Summit White","Medium Pewter","None reported","Yes",22495,0,5.3816
"125",125,"INFINITI","Q70h Base",2016,52750,"Hybrid","360.0HP 3.5L V6 Cylinder Engine Gas/Electric Hybrid","7-Speed A/T","White","Black","At least 1 accident or damage reported","Yes",28998,0,3.6624
"126",126,"Audi","A7 Premium Plus",2020,25361,"Hybrid","3.0 Liter Turbo","Automatic","Typhoon Gray","Black","None reported","No",49998,0,3
"127",127,"BMW","650 Gran Coupe i xDrive",2015,41000,"Gasoline","445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel","8-Speed A/T","Black","Black","None reported","Yes",30000,0,3.6624
"128",128,"Subaru","Forester Premium",2021,42125,"Gasoline","2.5L H4 16V GDI DOHC","Automatic CVT","Crystal Black Silica","Black","None reported","Yes",27899,0,2.5416
"129",129,"Mercedes-Benz","AMG C AMG C 63",2016,62000,"Gasoline","469.0HP 4.0L 8 Cylinder Engine Gasoline Fuel","Transmission w/Dual Shift Mode","Black","Black","None reported","Yes",40000,0,3.6624
"130",130,"Land","Rover LR3 HSE",2006,153843,"Gasoline","300.0HP 4.4L 8 Cylinder Engine Gasoline Fuel","6-Speed A/T","Red","Beige","At least 1 accident or damage reported","Yes",9950,0,3.6624
"131",131,"BMW","X7 xDrive40i",2019,35248,"Gasoline","3.0 Liter Twin Turbo","Automatic","Arctic Gray Metallic","Black","None reported","No",53998,1,3
"132",132,"Ford","Transit Connect XLT",2015,194454,"Gasoline","169.0HP 2.5L 4 Cylinder Engine Gasoline Fuel","6-Speed A/T","White","Black","None reported","Yes",9888,0,3.6624
"133",133,"Lexus","LX 570 Three-Row",2021,21000,"Gasoline","383.0HP 5.7L 8 Cylinder Engine Gasoline Fuel","Transmission w/Dual Shift Mode","White","Black","None reported","Yes",89999,1,3.6624
"134",134,"Dodge","Ram 2500 Laramie Quad Cab",2006,218000,"Gasoline","330.0HP 5.7L 8 Cylinder Engine Gasoline Fuel","4-Speed A/T","Red","Gray","None reported","Yes",12990,0,3.6624
"135",135,"Nissan","Armada SL",2021,67800,"Gasoline","400.0HP 5.6L 8 Cylinder Engine Gasoline Fuel","7-Speed A/T","Silver","Black","At least 1 accident or damage reported","Yes",36500,0,3.6624
"136",136,"Porsche","Cayman Base",2014,79000,"Gasoline","275.0HP 2.7L Flat 6 Cylinder Engine Gasoline Fuel","Transmission w/Dual Shift Mode","Red","Black","At least 1 accident or damage reported","Yes",42999,0,3.6624
"137",137,"Mercedes-Benz","GLE 450 GLE 450",2022,24906,"Hybrid","3.0 Liter Turbo","Automatic","Selenite Grey Metallic","Black","None reported","No",63998,1,3
"138",138,"Chevrolet","Monte Carlo SS",2006,66840,"Gasoline","303.0HP 5.3L 8 Cylinder Engine Gasoline Fuel","A/T","White","Gray","At least 1 accident or damage reported","Yes",12000,0,3.6624
"139",139,"BMW","M5 Base",2013,86000,"Gasoline","560.0HP 4.4L 8 Cylinder Engine Gasoline Fuel","Transmission w/Dual Shift Mode","Blue","White","None reported","Yes",32000,0,3.6624
"140",140,"Hyundai","Kona N Base",2023,654,"Gasoline","2.0L I4 16V GDI DOHC Turbo","8-Speed Automatic with Auto-Shift","Ultra Black","Black","None reported","Yes",34599,0,2.0416
"141",141,"Chevrolet","Monte Carlo SS",2005,75000,"Gasoline","240.0HP 3.8L V6 Cylinder Engine Gasoline Fuel","A/T","Black","Black","None reported","Yes",12500,0,3.6624
"142",142,"Land","Rover Range Rover Evoque Pure",2015,84000,"Gasoline","240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel","9-Speed A/T","Beige","Black","At least 1 accident or damage reported","Yes",22800,0,3.6624
