Observed Reentry Date (UTC),Object Name,International Designator,SSN,TLE Epoch (UTC),Aerospace Reentry Prediction (UTC),Aerospace Stated Uncertainty 20% Rule (+/- hrs),Country of Origin,Type,Sighting Location,Sighting Latitude,Sighting Longitude,Debris Recovery Location,Recovery Latitude,Recovery Longitude
N/A,SL-4 R/B,2023-071B,56741,2023-05-26T17:57:12.440160Z,2023-05-26T18:45:06.540000Z,1.0,COMMONWEALTH OF INDEPENDENT STATES,ROCKET BODY,,,,,,
N/A,CZ-3B R/B,2019-053B,44494,2023-05-26T16:45:20.816640Z,2023-05-26T19:12:40.530000Z,1.0,PEOPLES REPUBLIC OF CHINA,ROCKET BODY,,,,,,
N/A,SL-4 R/B,2022-163B,54382,2023-05-22T05:43:50.942784Z,2023-05-22T07:08:24.690000Z,1.0,COMMONWEALTH OF INDEPENDENT STATES,ROCKET BODY,,,,,,
N/A,ROCSAT 1,1999-002A,25616,2023-05-21T19:11:12.645024Z,2023-05-21T22:26:23.870000Z,1.0,TAIWAN,PAYLOAD,,,,,,
N/A,STARLINK-3596,2022-017BB,51817,2023-05-21T00:45:12.520224Z,2023-05-21T03:57:08.930000Z,1.0,UNITED STATES OF AMERICA,PAYLOAD,,,,,,
N/A,CZ-7 R/B,2023-063B,56447,2023-05-20T22:18:25.242912Z,2023-05-21T06:20:10.870000Z,2.0,PEOPLES REPUBLIC OF CHINA,ROCKET BODY,,,,,,
N/A,PSLV R/B,2016-040X,41620,2023-05-19T17:27:26.330112Z,2023-05-19T22:22:01.890000Z,1.0,INDIA,ROCKET BODY,,,,,,
N/A,DRAGON CRS-27 DEB,2023-033B,56234,2023-05-18T23:10:04.710720Z,2023-05-19T01:23:11.590000Z,1.0,UNITED STATES OF AMERICA,DEBRIS,,,,,,
N/A,STARLINK-1181,2020-006AU,45086,2023-05-18T18:58:59.382048Z,2023-05-18T22:32:51.580000Z,1.0,UNITED STATES OF AMERICA,PAYLOAD,,,,,,
N/A,ASTRA SATELLITE 00001,2021-108A,49494,2023-05-14T13:42:39.925152Z,2023-05-14T15:23:09.600000Z,1.0,UNITED STATES OF AMERICA,PAYLOAD,,,,,,
N/A,CZ-2D R/B,2022-120C,53945,2023-05-12T11:28:17.987808Z,2023-05-13T01:39:11.390000Z,3.0,PEOPLES REPUBLIC OF CHINA,ROCKET BODY,,,,,,
N/A,STARLINK-1037,2019-074AF,44742,2023-05-12T19:51:52.308000Z,2023-05-12T21:04:47.120000Z,1.0,UNITED STATES OF AMERICA,PAYLOAD,,,,,,
N/A,STARLINK-30038,2023-026B,55696,2023-05-10T22:22:18.153984Z,2023-05-12T01:11:07.590000Z,6.0,UNITED STATES OF AMERICA,PAYLOAD,,,,,,
N/A,ARIANE 5 DEB (SYLDA),2010-032D,36747,2023-05-09T15:13:50.284992Z,2023-05-09T20:22:37.510000Z,2.0,FRANCE,DEBRIS,,,,,,
2023-05-10T11:33:00Z,CZ-3B R/B,2022-148B,54231,2023-05-10T06:57:31.284288Z,2023-05-10T09:59:57.780000Z,1.0,PEOPLES REPUBLIC OF CHINA,ROCKET BODY,"Okinawa, Japan",26.39,127.82,,,
N/A,STARLINK-30096,2023-056A,56286,2023-05-09T12:34:21.447840Z,2023-05-10T22:14:04.980000Z,7.0,UNITED STATES OF AMERICA,PAYLOAD,,,,,,
N/A,CZ-3B R/B,2021-114B,49506,2023-05-09T13:51:18.789984Z,2023-05-09T23:35:20.940000Z,2.0,PEOPLES REPUBLIC OF CHINA,ROCKET BODY,,,,,,
N/A,ARIANE 5 DEB (SYLDA),2014-054D,40149,2023-05-07T18:48:00.971712Z,2023-05-08T08:44:13.310000Z,3.0,FRANCE,DEBRIS,,,,,,
N/A,STARLINK-1839,2020-088J,47130,2023-05-03T06:53:47.948928Z,2023-05-03T11:00:54.200000Z,1.0,UNITED STATES OF AMERICA,PAYLOAD,,,,,,
N/A,COSMOS 2222,1992-081A,22238,2023-05-03T01:39:47.202912Z,2023-05-03T02:20:32.520000Z,1.0,COMMONWEALTH OF INDEPENDENT STATES,PAYLOAD,,,,,,
N/A,CZ-3B R/B,2020-092B,47232,2023-05-02T12:33:27.955008Z,2023-05-02T15:00:04.240000Z,1.0,PEOPLES REPUBLIC OF CHINA,ROCKET BODY,,,,,,
N/A,CZ-4B DEB,2021-074D,49074,2023-04-29T17:26:19.080672Z,2023-04-29T19:13:46.290000Z,1.0,PEOPLES REPUBLIC OF CHINA,DEBRIS,,,,,,
N/A,CZ-4C R/B,2023-055B,56233,2023-04-26T22:29:36.151872Z,2023-04-27T01:27:03.310000Z,1.0,PEOPLES REPUBLIC OF CHINA,ROCKET BODY,,,,,,
N/A,STARLINK-1129,2020-006C,45046,2023-04-26T13:03:17.761248Z,2023-04-27T10:43:04.440000Z,5.0,UNITED STATES OF AMERICA,PAYLOAD,,,,,,
2023-04-27T08:52:00Z,DRAGON ENDURANCE 2 DEB,2022-124B,55840,2023-04-27T07:40:47.517024Z,2023-04-27T09:09:48.030000Z,1.0,UNITED STATES OF AMERICA,DEBRIS,Southwestern CO,38.3,-107.2,,,
N/A,OE (NEXTSAT),2007-006C,30774,2023-04-21T07:12:42.246144Z,2023-04-21T17:06:26.370000Z,2.0,UNITED STATES OF AMERICA,PAYLOAD,,,,,,
N/A,CZ-2C DEB,2022-082B,53129,2023-04-21T02:24:30.081888Z,2023-04-21T04:05:24.280000Z,1.0,PEOPLES REPUBLIC OF CHINA,DEBRIS,,,,,,
N/A,STARLINK-3695,2022-025M,51967,2023-04-21T14:16:34.300416Z,2023-04-21T15:41:52.550000Z,1.0,UNITED STATES OF AMERICA,PAYLOAD,,,,,,
N/A,STARLINK-1065,2019-074BK,44770,2023-04-20T17:39:29.032416Z,2023-04-20T19:59:04.580000Z,1.0,UNITED STATES OF AMERICA,PAYLOAD,,,,,,
N/A,ZK-1A R/B,2022-087F,53304,2023-04-18T15:52:21.593856Z,2023-04-18T18:57:04.410000Z,1.0,PEOPLES REPUBLIC OF CHINA,ROCKET BODY,,,,,,
N/A,STARLINK-1203,2020-012AA,45202,2023-04-20T05:32:03.276672Z,2023-04-20T07:28:48.980000Z,1.0,UNITED STATES OF AMERICA,PAYLOAD,,,,,,
N/A,RHESSI,2002-004A,27370,2023-04-19T17:27:22.024800Z,2023-04-20T00:37:25.740000Z,2.0,UNITED STATES OF AMERICA,PAYLOAD,,,,,,
N/A,STARLINK-30054,2023-026M,55706,2023-04-16T03:18:11.206080Z,2023-04-16T12:28:34.170000Z,2.0,UNITED STATES OF AMERICA,PAYLOAD,,,,,,
N/A,STARLINK-1939,2020-074AM,46774,2023-04-16T09:30:23.916096Z,2023-04-16T11:31:07.300000Z,1.0,UNITED STATES OF AMERICA,PAYLOAD,,,,,,
N/A,STARLINK-1872,2020-074D,46742,2023-04-15T01:45:20.553120Z,2023-04-15T04:41:21.980000Z,1.0,UNITED STATES OF AMERICA,PAYLOAD,,,,,,
N/A,ASTRO F (AKARI),2006-005A,28939,2023-04-11T01:58:42.104064Z,2023-04-11T04:56:44.310000Z,1.0,JAPAN,PAYLOAD,,,,,,
N/A,COSMOS 1408 DEB,1982-092EW,49653,2023-04-10T13:57:10.546848Z,2023-04-10T22:59:46.240000Z,2.0,COMMONWEALTH OF INDEPENDENT STATES,DEBRIS,,,,,,
N/A,ELECTRON R/B,2023-041D,55984,2023-04-07T14:31:40.239840Z,2023-04-07T22:07:12.530000Z,2.0,UNITED STATES OF AMERICA,ROCKET BODY,,,,,,
N/A,STARLINK-5457,2023-021AQ,55666,2023-04-08T05:08:47.152896Z,2023-04-08T09:28:00.160000Z,1.0,UNITED STATES OF AMERICA,PAYLOAD,,,,,,
N/A,STARLINK-2216,2021-024AM,48012,2023-04-07T17:37:33.380832Z,2023-04-07T19:05:22.510000Z,1.0,UNITED STATES OF AMERICA,PAYLOAD,,,,,,
N/A,CAPELLA-4 (WHITNEY),2021-006BW,47481,2023-04-08T16:05:47.090688Z,2023-04-08T16:43:38.640000Z,1.0,UNITED STATES OF AMERICA,PAYLOAD,,,,,,
N/A,CZ-2D R/B,2021-101C,49392,2023-04-07T01:52:00.475392Z,2023-04-07T03:35:40.890000Z,1.0,PEOPLES REPUBLIC OF CHINA,ROCKET BODY,,,,,,
N/A,USA 323,2022-002CZ,51079,2023-04-02T01:49:00.498144Z,2023-04-02T03:10:16.970000Z,1.0,UNITED STATES OF AMERICA,PAYLOAD,,,,,,
N/A,STARLINK-5216,2022-136G,54057,2023-04-06T08:42:12.076128Z,2023-04-06T10:20:57.590000Z,1.0,UNITED STATES OF AMERICA,PAYLOAD,,,,,,
N/A,DRAGON FREEDOM DEB,2022-042B,54047,2023-04-05T01:30:13.761792Z,2023-04-05T09:33:35.850000Z,2.0,UNITED STATES OF AMERICA,DEBRIS,,,,,,
N/A,STARLINK-1085,2020-001BB,44963,2023-04-03T22:20:20.153184Z,2023-04-04T00:17:59.970000Z,1.0,UNITED STATES OF AMERICA,PAYLOAD,,,,,,
N/A,USA 322,2022-002CY,51078,2023-04-02T02:15:04.266432Z,2023-04-02T03:35:22.490000Z,1.0,UNITED STATES OF AMERICA,PAYLOAD,,,,,,
N/A,STARLINK-30062,2023-026W,55715,2023-04-03T07:27:49.584384Z,2023-04-03T09:24:24.470000Z,1.0,UNITED STATES OF AMERICA,PAYLOAD,,,,,,
N/A,OBJECT H,2020-079H,46834,2023-04-02T17:55:15.991968Z,2023-04-02T20:52:18.850000Z,1.0,PEOPLES REPUBLIC OF CHINA,UNKNOWN,,,,,,
N/A,USA 321,2022-002CX,51077,2023-04-01T20:39:51.111072Z,2023-04-01T22:06:52.710000Z,1.0,UNITED STATES OF AMERICA,PAYLOAD,,,,,,
N/A,CZ-2D DEB,2021-101E,49394,2023-04-01T12:59:33.136800Z,2023-04-01T19:36:37.700000Z,2.0,PEOPLES REPUBLIC OF CHINA,DEBRIS,,,,,,
N/A,ATLAS 3B CENTAUR R/B,2003-057B,28118,2023-03-31T21:51:59.188608Z,2023-04-01T01:42:15.180000Z,1.0,UNITED STATES OF AMERICA,ROCKET BODY,,,,,,
N/A,ELECTRON KICK STAGE R/B,2023-041E,55985,2023-03-29T17:25:39.562176Z,2023-03-30T01:31:14.270000Z,2.0,UNITED STATES OF AMERICA,ROCKET BODY,,,,,,
N/A,CZ-2D R/B,2022-109E,53764,2023-03-27T15:03:08.034912Z,2023-03-28T09:16:59.640000Z,4.0,PEOPLES REPUBLIC OF CHINA,ROCKET BODY,,,,,,
N/A,CZ-4B R/B,2006-015B,29093,2023-03-26T17:56:45.962880Z,2023-03-26T22:16:04.850000Z,1.0,PEOPLES REPUBLIC OF CHINA,ROCKET BODY,,,,,,
N/A,CZ-2D R/B,2022-100B,53523,2023-03-28T11:02:14.256672Z,2023-03-28T16:34:46.250000Z,2.0,PEOPLES REPUBLIC OF CHINA,ROCKET BODY,,,,,,
2023-03-23T08:35:00Z,KZ-1A R/B,2023-039E,55977,2023-03-23T04:30:34.528896Z,2023-03-23T08:49:52.020000Z,2.0,PEOPLES REPUBLIC OF CHINA,ROCKET BODY,Southern Florida,28.0,278.5,,,
N/A,STARLINK-1649,2020-070W,46552,2023-03-24T09:00:16.605216Z,2023-03-24T14:05:41.880000Z,2.0,UNITED STATES OF AMERICA,PAYLOAD,,,,,,
N/A,STARLINK-5083,2023-013AB,55356,2023-03-19T08:46:25.783680Z,2023-03-24T05:52:15.150000Z,24.0,UNITED STATES OF AMERICA,PAYLOAD,,,,,,
N/A,ISS DEB (ICS-EF),1998-067RJ,45265,2023-03-17T16:43:31.459296Z,2023-03-18T04:52:46.040000Z,3.0,JAPAN,DEBRIS,,,,,,
N/A,CZ-2C DEB,2022-043B,52321,2023-03-19T07:37:08.194080Z,2023-03-19T09:24:59.090000Z,1.0,PEOPLES REPUBLIC OF CHINA,DEBRIS,,,,,,
N/A,CZ-8 R/B,2020-102F,47301,2023-03-16T16:17:52.569024Z,2023-03-16T17:59:15.810000Z,1.0,PEOPLES REPUBLIC OF CHINA,ROCKET BODY,,,,,,
N/A,STARLINK-2328,2021-021N,47872,2023-03-11T02:26:40.506144Z,2023-03-14T10:27:19.640000Z,17.0,UNITED STATES OF AMERICA,PAYLOAD,,,,,,
N/A,STARLINK-2350,2021-021AG,47890,2023-03-11T16:58:27.810048Z,2023-03-11T18:08:55.260000Z,1.0,UNITED STATES OF AMERICA,PAYLOAD,,,,,,
N/A,CZ-2D R/B,2022-088B,53317,2023-03-11T11:08:29.896224Z,2023-03-11T16:22:17.070000Z,2.0,PEOPLES REPUBLIC OF CHINA,ROCKET BODY,,,,,,
N/A,STPSAT-3,2013-064A,39380,2023-03-10T17:18:30.989664Z,2023-03-11T07:43:45.250000Z,3.0,UNITED STATES OF AMERICA,PAYLOAD,,,,,,
N/A,STARLINK-5723,2023-020AP,55606,2023-03-09T18:08:50.229888Z,2023-03-10T01:29:15.190000Z,2.0,UNITED STATES OF AMERICA,PAYLOAD,,,,,,
N/A,SZ-13 MODULE,2021-092C,52260,2023-03-08T13:49:09.439680Z,2023-03-08T21:23:02.560000Z,2.0,PEOPLES REPUBLIC OF CHINA,PAYLOAD,,,,,,
N/A,CZ-2D R/B,2022-068D,52910,2023-03-08T02:10:36.589728Z,2023-03-08T03:17:45.060000Z,1.0,PEOPLES REPUBLIC OF CHINA,ROCKET BODY,,,,,,
N/A,CZ-4C DEB,2019-024B,44208,2023-03-07T12:47:43.060992Z,2023-03-07T15:27:18.730000Z,1.0,PEOPLES REPUBLIC OF CHINA,DEBRIS,,,,,,
N/A,HJ-1C,2012-064A,38997,2023-03-01T22:30:32Z,2023-03-01T23:22:00Z,1.0,PRC,Payload,,,,,,
N/A,STARLINK-1881,2020-088AW,47166,2023-02-28T06:10:00Z,2023-02-28T09:41:00Z,1.0,USA,Payload,,,,,,
N/A,CAPELLA-2,2020-060B,46269,2023-02-27T11:42:00Z,2023-02-27T23:50:00Z,2.0,USA,Payload,,,,,,
N/A,ELECTRON R/B,2022-127C,54025,2023-02-27T12:54:00Z,2023-02-27T13:43:00Z,1.0,USA,R/B,,,,,,
N/A,CAPELLA-3 (WHITNEY),2021-006CE,47489,2023-02-26T16:28:00Z,2023-02-26T17:18:00Z,1.0,USA,Payload,,,,,,
N/A,SL-4 R/B,2023-024B,55689,2023-02-26T11:12:00Z,2023-02-26T11:23:00Z,1.0,Russia,R/B,,,,,,
N/A,CAPELLA-5 (WHITNEY),2021-059AL,48913,2023-02-23T14:11:00Z,2023-02-23T15:30:00Z,1.0,USA,Payload,,,,,,
N/A,STARLINK-1353,2020-025G,45537,2023-02-21T05:56:00Z,2023-02-21T10:28:00Z,1.0,USA,Payload,,,,,,
N/A,SL-3 R/B,1980-044B,11822,2023-02-20T05:29:00Z,2023-02-20T10:57:00Z,1.0,Russia,R/B,,,,,,
N/A,CZ-2D R/B,2020-014D,45252,2023-02-15T23:08:04Z,2023-02-18T07:02:00Z,11.0,China,R/B,,,,,,
N/A,CZ-4B R/B,2022-176B     ,54819,2023-02-16T12:17:52Z,2023-02-16T19:35:00Z,1.0,China,R/B,,,,,,
N/A,ARIANE 5 DEB (SYLDA),2011-041D,37778,2023-02-15T06:26:36Z,2023-02-16T03:48:00Z,4.0,French Guiana,Debris,,,,,,
N/A,STARLINK-5066,2023-014AK,55424,2023-02-13T08:56:13Z,2023-02-13T13:16:00Z,1.0,USA,Payload,,,,,,
N/A,SL-4B R/B,2023-018B,55561,2023-02-10T14:53:17Z,2023-02-11T00:41:00Z,2.0,Russia,R/B,,,,,,
N/A,STARLINK-1016,2019-074K     ,44722,2023-02-09T09:53:31Z,2023-02-09T22:12:00Z,2.0,USA,Payload,,,,,,
N/A,SZ-12 MODULE,2021-053C,49221,2023-02-08T16:55:17Z,2023-02-08T19:42:00Z,1.0,China,Payload,,,,,,
N/A,CZ-2D R/B,2023-005B,55240,2023-02-07T18:21:11Z,2023-02-07T22:24:00Z,1.0,China,R/B,,,,,,
N/A,STARLINK-1946,2020-074AP,46776,2023-02-04T22:36:35Z,2023-02-05T01:29:00Z,1.0,USA,Payload,,,,,,
N/A,STARLINK-1902,2020-074AA,46763,2023-02-04T11:14:54Z,2023-02-04T12:01:00Z,1.0,USA,Payload,,,,,,
N/A,CZ-6 R/B,2015-049Q,40913,2023-02-02T08:55:14Z,2023-02-02T11:05:00Z,1.0,China,R/B,,,,,,
N/A,STARLINK-5319,2023-010AJ,55301,2023-01-31T21:05:57Z,2023-01-31T22:58:00Z,1.0,USA,Payload,,,,,,
N/A,CAPELLA-1,2018-099AK,43791,2023-01-25T19:00:33Z,2023-01-25T21:18:00Z,1.0,USA,Payload,,,,,,
N/A,DRAGON CRS-26 DEB,2022-159B,55241,2023-01-21T14:51:17Z,2023-01-21T19:18:00Z,1.0,USA,Debris,,,,,,
N/A,CZ-2C R/B,2014-071B,40306,2023-01-21T14:12:00Z,2023-01-21T15:06:00Z,1.0,China,R/B,,,,,,
N/A,CZ-4B R/B,2022-090D,53349,2023-01-17T12:19:53Z,2023-01-17T15:22:00Z,1.0,China,R/B,,,,,,
N/A,PEHUENSAT 1,2007-001D,29712,2023-01-16T13:24:02Z,2023-01-16T14:49:00Z,1.0,Argentina,Payload,,,,,,
N/A,PSLV R/B,2015-077G,41172,2023-01-14T05:57:32Z,2023-01-16T09:26:00Z,10.0,India,R/B,,,,,,
N/A,ERBS,1984-108B,15354,2023-01-09T02:51:31Z,2023-01-09T04:11:00Z,1.0,USA,Payload,,,,,,
N/A,DELTA 2 DEB (DPAF),2000-075E,26623,2023-01-08T14:15:40Z,2023-01-08T19:01:00Z,1.0,USA,Debris,,,,,,
N/A,ARIANE 5 DEB (SYLDA),2014-011D,39619,2023-01-06T16:01:25Z,2023-01-06T18:25:00Z,1.0,French Guiana,Debris,,,,,,
N/A,COSMOS 917,1977-047A,10059,2023-01-03T22:11:05Z,2023-01-04T05:55:00Z,2.0,Russia,Payload,,,,,,
N/A,SL-6 R/B(2),2007-049D,32271,2022-12-26T12:21:26Z,2022-12-26T13:00:00Z,1.0,Russia,R/B,,,,,,
N/A,STARLINK-3816,2022-045W,52351,2022-12-26T07:43:37Z,2022-12-26T10:12:00Z,1.0,USA,Payload,,,,,,
N/A,CZ-2F R/B,2022-162B,54380,2022-12-11T16:32:45Z,2022-12-11T21:54:00Z,1.0,China,R/B,,,,,,
N/A,STARLINK-1968,2021-009X,47569,2022-12-09T21:13:36Z,2022-12-10T06:51:00Z,2.0,USA,Payload,,,,,,
N/A,COSMOS 2560,2022-135A,54050,2022-12-10T00:06:48Z,2022-12-10T02:12:00Z,1.0,Russia,Payload,,,,,,
N/A,H-2A R/B,2015-004B,40382,2022-12-01T09:30:57Z,2022-12-01T11:49:00Z,1.0,Japan,R/B,,,,,,
N/A,SL-4 R/B,2022-036B,52203,2022-11-30T00:34:46Z,2022-11-30T01:52:00Z,1.0,Russia,R/B,,,,,,
N/A,COSMOS-2487,2013-032A,39194,2022-11-29T10:59:16Z,2022-11-29T12:55:00Z,1.0,Russia,Payload,,,,,,
N/A,STARLINK-1495,2020-038AH,45761,2022-11-27T19:13:59Z,2022-11-28T00:53:00Z,1.0,USA,Payload,,,,,,
N/A,STARLINK-1898,2020-074G,46745,2022-11-27T04:45:15Z,2022-11-27T09:34:00Z,1.0,USA,Payload,,,,,,
N/A,STARLINK-4665,2022-104M,53599,2022-11-26T14:30:39Z,2022-11-26T15:54:00Z,1.0,USA,Payload,,,,,,
N/A,CZ-7A R/B,2021-019B,47852,2022-11-22T17:28:22Z,2022-11-22T18:12:00Z,1.0,China,R/B,,,,,,
N/A,ELECTRON R/B,2022-147C,54229,2022-11-20T19:29:12Z,2022-11-20T22:10:00Z,1.0,New Zealand,R/B,,,,,,
N/A,SL-4 R/B,2022-089B,53324,2022-11-19T10:02:15Z,2022-11-19T11:21:00Z,1.0,Russia,R/B,,,,,,
N/A,LIGHTSAIL,2019-036AC,44420,2022-11-16T00:06:40Z,2022-11-17T14:55:00Z,8.0,USA,Payload,,,,,,
N/A,STARLINK-4638,2022-111N,53785,2022-11-16T08:25:28Z,2022-11-16T11:36:00Z,1.0,USA,Payload,,,,,,
N/A,CZ-7 R/B,2022-152D,54240,2022-11-15T05:59:46Z,2022-11-15T10:25:00Z,1.0,China,R/B,,,,,,
N/A,STARLINK-4744,2022-111R,53788,2022-11-15T00:27:13Z,2022-11-15T03:04:00Z,1.0,USA,Payload,,,,,,
N/A,STARLINK-4161,2022-076AU,53028,2022-11-14T19:42:23Z,2022-11-14T23:20:00Z,1.0,USA,Payload,,,,,,
N/A,REDEYE 2 (MERLOT),1998-067RM,45800,2022-11-13T22:50:05Z,2022-11-14T15:09:00Z,3.0,USA,Payload,,,,,,
N/A,STARLINK-4736,2022-111U,53791,2022-11-14T10:36:14Z,2022-11-14T14:38:00Z,1.0,USA,Payload,,,,,,
N/A,REDEYE 3 (CABERNET),1998-067RN,45809,2022-11-14T05:11:28Z,2022-11-14T07:29:00Z,1.0,USA,Payload,,,,,,
N/A,CFESAT,2007-006F,30777,2022-11-12T11:25:16Z,2022-11-12T13:02:00Z,1.0,USA,Payload,,,,,,
N/A,ANTARES R/B,2022-149B,54233,2022-11-09T11:21:30Z,2022-11-09T14:48:00Z,1.0,USA,R/B,,,,,,
N/A,KZ-1A R/B,2022-140B,53759,2022-11-04T20:48:37Z,2022-11-05T04:25:00Z,2.0,China,R/B,,,,,,
N/A,CZ-5B R/B,2022-143B,54217,2022-11-03T19:58:06Z,2022-11-04T11:20:00Z,3.0,China,R/B,,,,,,
N/A,SL-4 R/B,2022-137C,54111,2022-11-03T12:16:54Z,2022-11-03T13:59:00Z,1.0,Russia,R/B,,,,,,
N/A,STARLINK-4704,2022-107AB,53725,2022-10-29T15:21:09Z,2022-10-31T10:37:00Z,9.0,USA,Payload,,,,,,
N/A,PSLV DEB,2018-004B,43112,2022-10-30T06:24:55Z,2022-10-30T14:16:00Z,2.0,India,Debris,,,,,,
N/A,RISAT 2,2009-019A,34807,2022-10-29T01:12:17Z,2022-10-30T02:31:00Z,5.0,India,Payload,,,,,,
N/A,CZ-4B DEB,2021-122C,49963,2022-10-29T03:43:06Z,2022-10-29T09:07:00Z,1.0,China,Debris,,,,,,
N/A,SL-4 R/B,2022-140B,54156,2022-10-27T14:56:56Z,2022-10-28T05:01:00Z,3.0,Russia,R/B,,,,,,
N/A,STARLINK-5005,2022-119AM,53921,2022-10-25T07:34:37Z,2022-10-25T12:53:00Z,1.0,USA,Payload,,,,,,
N/A,STARLINK-4696,2022-107L,53710,2022-10-24T12:35:27Z,2022-10-24T14:13:00Z,1.0,USA,Payload,,,,,,
N/A,STARLINK-4702,2022-107T,53717,2022-10-23T16:55:22Z,2022-10-24T07:10:00Z,3.0,USA,Payload,,,,,,
N/A,STARLINK-24,2019-029D,44238,2022-10-24T02:45:44Z,2022-10-24T06:17:00Z,1.0,USA,Payload,,,,,,
